run_date,severity,issue_type,fund_code,document_id,description,recommended_action,status
2026-06-06,info,missing_meeting_date,,undated_dom_at_risk,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/at-risk.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_dom_cash_reserve_levy,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/cash-reserve-levy.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_dom_cash_reserve_levy,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/cash-reserve-levy.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_dom_cash_reserve_levy,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/cash-reserve-levy.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_dom_certified_enrollment,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/certified-enrollment.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_dom_certified_enrollment,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/certified-enrollment.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_dom_certified_enrollment,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/certified-enrollment.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_dom_levy_rates_and_valuation,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/levy-rates-and-valuation.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_dom_levy_rates_and_valuation,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/levy-rates-and-valuation.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_dom_levy_rates_and_valuation,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/levy-rates-and-valuation.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_dom_unspent_authorized_budget,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/unspent-authorized-budget.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_dom_unspent_authorized_budget,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/unspent-authorized-budget.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_dom_unspent_authorized_budget,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/unspent-authorized-budget.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_notes_extractions_iowa_city_csd,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/notes-extractions/Iowa_City_CSD.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_notes_extractions_iowa_city_csd,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/notes-extractions/Iowa_City_CSD.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_notes_extractions_iowa_city_csd,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/notes-extractions/Iowa_City_CSD.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_ankeny_csd_2020,No source_url recorded for 'data/raw/peer_districts/audits/Ankeny CSD-2020.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_ankeny_csd_2020,No meeting/report date for 'data/raw/peer_districts/audits/Ankeny CSD-2020.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_ankeny_csd_2021,No source_url recorded for 'data/raw/peer_districts/audits/Ankeny CSD-2021.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_ankeny_csd_2021,No meeting/report date for 'data/raw/peer_districts/audits/Ankeny CSD-2021.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_ankeny_csd_2022,No source_url recorded for 'data/raw/peer_districts/audits/Ankeny CSD-2022.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_ankeny_csd_2022,No meeting/report date for 'data/raw/peer_districts/audits/Ankeny CSD-2022.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_ankeny_csd_2023,No source_url recorded for 'data/raw/peer_districts/audits/Ankeny CSD-2023.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_ankeny_csd_2023,No meeting/report date for 'data/raw/peer_districts/audits/Ankeny CSD-2023.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_ankeny_csd_2024,No source_url recorded for 'data/raw/peer_districts/audits/Ankeny CSD-2024.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_ankeny_csd_2024,No meeting/report date for 'data/raw/peer_districts/audits/Ankeny CSD-2024.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_ankeny_csd_2025,No source_url recorded for 'data/raw/peer_districts/audits/Ankeny CSD-2025.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_ankeny_csd_2025,No meeting/report date for 'data/raw/peer_districts/audits/Ankeny CSD-2025.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_burlington_csd_2020,No source_url recorded for 'data/raw/peer_districts/audits/Burlington CSD-2020.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_burlington_csd_2020,No meeting/report date for 'data/raw/peer_districts/audits/Burlington CSD-2020.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_burlington_csd_2021,No source_url recorded for 'data/raw/peer_districts/audits/Burlington CSD-2021.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_burlington_csd_2021,No meeting/report date for 'data/raw/peer_districts/audits/Burlington CSD-2021.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_burlington_csd_2022,No source_url recorded for 'data/raw/peer_districts/audits/Burlington CSD-2022.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_burlington_csd_2022,No meeting/report date for 'data/raw/peer_districts/audits/Burlington CSD-2022.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_burlington_csd_2023,No source_url recorded for 'data/raw/peer_districts/audits/Burlington CSD-2023.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_burlington_csd_2023,No meeting/report date for 'data/raw/peer_districts/audits/Burlington CSD-2023.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_burlington_csd_2024,No source_url recorded for 'data/raw/peer_districts/audits/Burlington CSD-2024.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_burlington_csd_2024,No meeting/report date for 'data/raw/peer_districts/audits/Burlington CSD-2024.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_burlington_csd_2025,No source_url recorded for 'data/raw/peer_districts/audits/Burlington CSD-2025.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_burlington_csd_2025,No meeting/report date for 'data/raw/peer_districts/audits/Burlington CSD-2025.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_cedar_rapids_csd_2020,No source_url recorded for 'data/raw/peer_districts/audits/Cedar Rapids CSD-2020.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_cedar_rapids_csd_2020,No meeting/report date for 'data/raw/peer_districts/audits/Cedar Rapids CSD-2020.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_cedar_rapids_csd_2021,No source_url recorded for 'data/raw/peer_districts/audits/Cedar Rapids CSD-2021.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_cedar_rapids_csd_2021,No meeting/report date for 'data/raw/peer_districts/audits/Cedar Rapids CSD-2021.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_cedar_rapids_csd_2022,No source_url recorded for 'data/raw/peer_districts/audits/Cedar Rapids CSD-2022.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
